Participant_ID,Dates,Calories
p02,2020-08-18,-248.19081104037505
p02,2020-08-19,-43.14206489408164
p02,2020-08-20,140.30508277069612
p02,2020-08-21,-551.3258451459217
p02,2020-08-22,-621.7175519588022
p02,2020-08-23,-343.02553038159107
p02,2020-08-24,-141.5716247575479
p02,2020-08-25,-307.51301500947255
p02,2020-08-26,-102.46426886261537
p02,2020-08-27,80.98287880155283
p02,2020-08-28,-610.648049115126
p02,2020-08-29,-681.0397559282312
p02,2020-08-30,-402.34773434988267
p02,2020-08-31,-200.89382872645984
p02,2020-09-01,-366.83521897743327
p02,2020-09-02,-161.78647283065843
p02,2020-09-03,21.660674833042663
p02,2020-09-04,-669.970253084171
p02,2020-09-05,-740.3619598967979
p02,2020-09-06,-461.6699383181741
p02,2020-09-07,-260.2160326948391
p02,2020-09-08,-426.1574229465309
p02,2020-09-09,-221.1086768006321
p02,2020-09-10,-37.66152913491453
p02,2020-09-11,-729.2924570532957
p02,2020-09-12,-799.6841638653639
p02,2020-09-13,-520.9921422868574
p02,2020-09-14,-319.5382366636927
p02,2020-09-15,-485.4796269156283
p02,2020-09-16,-280.4308807691655
p02,2020-09-17,-96.98373310374149
p02,2020-09-18,-788.6146610224204
p02,2020-09-19,-859.0063678337567
p02,2020-09-20,-580.3143462564249
p02,2020-09-21,-378.860440632072
p02,2020-09-22,-544.8018308835891
p02,2020-09-23,-339.7530847376995
p02,2020-09-24,-156.3059370728846
p02,2020-09-25,-847.9368649892149
p02,2020-09-26,-918.3285718021498
p02,2020-09-27,-639.636550225108
p02,2020-09-28,-438.18264460098396
p02,2020-09-29,-604.1240348526868
p02,2020-09-30,-399.07528870574237
p02,2020-10-01,-215.62814104139483
p02,2020-10-02,-907.2590689582603
p02,2020-10-03,-977.6507757708896
p02,2020-10-04,-698.9587541933994
p02,2020-10-05,-497.50484856989635
p02,2020-10-06,-663.4462388213532
p02,2020-10-07,-458.397492674767
p02,2020-10-08,-274.9503450105383
p02,2020-10-09,-966.581272927464
p02,2020-10-10,-1036.972979739282
p02,2020-10-11,-758.2809581633588
p02,2020-10-12,-556.8270525388085
p02,2020-10-13,-722.7684427904504
p02,2020-10-14,-517.7196966442501
p02,2020-10-15,-334.272548979365
